2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05100301-6756180,3.56,18.496,16.996,15.449,13.908,1.5,1.547,4
05113589-6528532,3.9,17.429,15.928,14.434,13.022,1.501,1.494,0
05190482-6854110,3.628,17.938,16.437,15.126,13.724,1.501,1.311,4
04562566-7037009,3.894,17.789,16.288,14.759,13.18,1.501,1.529,4
05095579-6649048,3.893,17.739,16.238,14.65,13.191,1.501,1.588,0
05450190-6656569,3.98,17.899,16.398,14.815,13.332,1.501,1.583,4
05313961-6902381,4.04,17.546,16.044,14.453,12.524,1.502,1.591,4
05092586-6941223,3.623,17.984,16.482,15.173,13.687,1.502,1.309,0
05350368-6628446,3.564,18.803,17.301,15.751,14.119,1.502,1.55,4
05035723-7003454,3.766,17.662,16.159,14.694,13.288,1.503,1.465,4
05062338-6842591,3.628,18.176,16.673,15.16,13.73,1.503,1.513,4
05142533-6642265,3.695,18.128,16.624,15.103,13.642,1.504,1.521,4
05240690-6847063,3.866,17.623,16.119,14.539,13.685,1.504,1.58,4
05053424-6839448,3.58,18.321,16.817,15.331,14.126,1.504,1.486,4
05192571-6749279,4.119,17.418,15.913,14.194,12.389,1.505,1.719,0
05294868-6815370,3.718,18.076,16.571,15.076,13.554,1.505,1.495,0
05023233-6919218,3.965,17.361,15.856,14.216,12.767,1.505,1.64,0
04542884-6730209,3.757,17.899,16.394,14.889,13.382,1.505,1.505,4
04442816-6905095,3.986,17.642,16.136,14.402,12.892,1.506,1.734,4
05072401-6959267,3.873,17.564,16.058,14.48,12.903,1.506,1.578,4
05272283-6818580,3.782,17.858,16.352,14.853,13.399,1.506,1.499,4
05280551-6627389,3.773,17.742,16.236,14.797,13.426,1.506,1.439,0
05392858-7029430,3.737,17.846,16.34,14.833,13.431,1.506,1.507,4
05213097-6747054,3.846,18.012,16.505,14.883,13.164,1.507,1.622,4
04552234-7024316,3.69,18.183,16.676,15.225,13.663,1.507,1.451,4
05205596-6930325,3.661,18.277,16.77,15.392,13.73,1.507,1.378,0
04593732-6933143,3.834,17.826,16.319,14.722,99.999,1.507,1.597,4
05272644-6913408,3.74,17.871,16.363,14.902,13.452,1.508,1.461,0
05173831-6613095,3.69,17.804,16.296,14.944,13.604,1.508,1.352,0
05135656-6606046,3.779,18.167,16.659,15.122,13.491,1.508,1.537,0
05365720-6924100,3.566,18.431,16.923,15.385,14.022,1.508,1.538,4
04573214-6820183,3.85,18.033,16.524,14.836,13.167,1.509,1.688,4
05123238-6858238,3.639,18.007,16.498,15.005,13.734,1.509,1.493,4
05122818-6715556,4.691,16.613,15.102,13.236,10.902,1.511,1.866,0
04562574-6631156,3.877,17.86,16.349,14.771,13.196,1.511,1.578,1
05025557-6852105,3.869,17.634,16.123,14.613,13.269,1.511,1.51,4
05072832-6910140,3.595,18.34,16.829,15.347,14.077,1.511,1.482,0
04590411-7100494,4.133,17.355,15.844,14.167,12.491,1.511,1.677,0
05070771-6622502,3.984,18.251,16.74,15.052,12.959,1.511,1.688,0
05535002-6951459,3.824,17.658,16.146,14.686,13.293,1.512,1.46,4
04590106-6729306,3.721,17.79,16.278,14.795,13.504,1.512,1.483,4
05120245-6913149,3.646,18.233,16.721,15.039,13.678,1.512,1.682,0
05091183-6912046,3.692,17.931,16.419,14.922,13.74,1.512,1.497,0
04433305-6952584,3.664,18.158,16.646,15.098,13.754,1.512,1.548,0
05012992-6908196,3.619,18.006,16.494,14.993,13.804,1.512,1.501,4
05021567-7059193,3.887,17.388,15.875,14.451,13.077,1.513,1.424,0
05131018-6650030,3.879,17.634,16.121,14.608,13.118,1.513,1.513,0
04583140-6645581,3.802,17.963,16.45,14.884,13.361,1.513,1.566,4
05363638-7049360,3.597,18.225,16.712,15.21,13.844,1.513,1.502,4
05141787-6720322,4.93,16.455,14.941,12.787,10.342,1.514,2.154,1
05364779-6646181,3.821,17.592,16.078,14.65,13.291,1.514,1.428,4
05081092-6846550,3.76,17.826,16.312,14.744,13.421,1.514,1.568,4
05074330-6956593,3.852,17.717,16.202,14.677,13.11,1.515,1.525,0
05191306-6533282,4.777,16.563,15.048,12.928,10.925,1.515,2.12,0
05081274-6638360,4,17.363,15.848,14.299,12.817,1.515,1.549,4
04462919-6915295,3.706,18.148,16.633,15.114,13.628,1.515,1.519,4
04551516-6955002,3.93,17.607,16.091,14.444,13.083,1.516,1.647,4
05320627-7005044,3.675,18.148,16.632,15.081,13.699,1.516,1.551,4
04503548-6959385,3.737,18.019,16.502,14.966,13.507,1.517,1.536,4
05265477-6831232,3.732,18.101,16.584,15.027,13.562,1.517,1.557,4
05213452-7002037,3.694,18.331,16.814,15.236,13.681,1.517,1.578,4
04542305-6941493,3.644,18.028,16.511,15.044,13.723,1.517,1.467,0
04465850-6919573,3.589,18.471,16.954,15.45,13.9,1.517,1.504,4
05145747-6920560,3.626,18.289,16.772,15.231,13.765,1.517,1.541,4
04572422-6818269,3.583,18.356,16.839,15.33,13.916,1.517,1.509,4
05365008-6830166,4.251,16.996,15.478,13.759,11.031,1.518,1.719,4
05022154-7147419,4.21,17.121,15.603,13.97,12.512,1.518,1.633,3
04485049-6858399,3.948,17.675,16.157,14.599,12.985,1.518,1.558,4
05094454-6559046,3.94,17.787,16.269,14.683,13.078,1.518,1.586,0
05380446-6950086,3.868,18.177,16.659,15.01,13.388,1.518,1.649,0
04523583-6643321,3.777,18.087,16.569,14.932,13.429,1.518,1.637,4
05083777-6844227,3.582,18.076,16.558,15.078,13.841,1.518,1.48,0
05311468-6709598,3.935,17.662,16.144,14.57,99.999,1.518,1.574,4
05332570-6733170,3.64,17.929,16.41,15.1,13.694,1.519,1.31,4
05375951-6712194,3.631,18.174,16.655,15.078,13.778,1.519,1.577,4
05270339-6905195,4.576,16.563,15.044,13.236,99.999,1.519,1.808,4
04560523-6708007,4.58,16.793,15.274,13.486,11.514,1.519,1.788,4
04525402-6706470,4.104,17.369,15.85,14.214,12.595,1.519,1.636,4
05240481-6942248,3.659,18.097,16.578,15.029,13.917,1.519,1.549,4
05353355-6733126,3.58,18.326,16.807,15.453,13.971,1.519,1.354,4
05400638-6702425,3.803,17.758,16.238,14.744,13.36,1.52,1.494,4
04564022-6820516,3.732,18.323,16.803,15.143,13.557,1.52,1.66,4
05090042-7007378,3.636,18.051,16.53,14.924,13.709,1.521,1.606,0
05272739-6622402,3.79,17.668,16.147,14.738,13.459,1.521,1.409,4
05383288-6758194,3.711,17.869,16.348,14.936,13.515,1.521,1.412,4
05021637-6706194,3.542,18.442,16.921,15.394,13.923,1.521,1.527,4
04563041-6651095,3.899,17.608,16.086,14.536,13.108,1.522,1.55,4
05350981-6818491,3.752,17.986,16.464,14.933,13.446,1.522,1.531,4
05364835-6954012,3.713,17.96,16.438,15.08,13.589,1.522,1.358,4
05234205-6532241,3.596,18.178,16.656,15.214,13.84,1.522,1.442,4
05175804-6925514,3.858,17.485,15.962,14.742,13.083,1.523,1.22,4
04515443-6634115,3.798,17.719,16.196,14.786,13.219,1.523,1.41,4
05220370-6650364,3.604,18.127,16.604,15.246,13.834,1.523,1.358,4
05085976-6939535,3.535,19.229,17.706,15.684,14.786,1.523,2.022,0
05332487-6622223,4.951,15.678,14.155,11.376,11.495,1.523,2.779,4
05470489-6743397,4.437,16.827,15.303,13.585,11.635,1.524,1.718,4
04594705-6825315,3.999,17.555,16.031,14.277,12.857,1.524,1.754,4
05080650-7001020,3.831,17.914,16.39,14.774,13.209,1.524,1.616,0
05243401-6625549,4.141,17.85,16.326,14.602,99.999,1.524,1.724,4
05403298-6711397,3.921,17.674,16.149,14.616,12.762,1.525,1.533,4
05434890-7118067,3.673,18.259,16.734,15.174,13.707,1.525,1.56,3
04551101-7114434,3.666,18.32,16.795,15.198,13.711,1.525,1.597,4
05285342-6625403,4.032,17.358,15.833,14.293,12.783,1.525,1.54,4
05461006-6732133,4.133,17.383,15.857,14.196,12.653,1.526,1.661,4
04495059-6757083,3.945,17.473,15.947,14.44,12.841,1.526,1.507,3
05434121-6744013,3.826,17.551,16.024,14.624,13.29,1.527,1.4,4
05463784-6744186,3.679,18.101,16.574,15.059,13.701,1.527,1.515,4
05511329-6953553,3.644,18.031,16.504,15.094,13.722,1.527,1.41,4
05293598-6655341,3.651,17.95,16.423,15.048,13.722,1.527,1.375,4
05471165-6653366,3.626,18.109,16.582,15.201,13.812,1.527,1.381,4
05372519-7024120,3.729,18.41,16.883,15.285,13.877,1.527,1.598,4
05360644-6727116,4.881,16.451,14.924,13.026,99.999,1.527,1.898,4
05061948-6906133,3.638,18.209,16.681,15.255,13.972,1.528,1.426,4
05235192-6952513,3.764,17.873,16.345,15.004,13.365,1.528,1.341,4
05295829-6621345,3.648,18.021,16.493,15.104,13.754,1.528,1.389,4
05412955-6927161,4.861,16.493,14.964,12.956,10.875,1.529,2.008,4
05263391-6922304,4.559,16.753,15.224,13.426,11.575,1.529,1.798,0
05185799-6804134,3.965,17.617,16.088,14.412,12.911,1.529,1.676,0
05244432-6732301,3.853,17.69,16.161,14.682,13.185,1.529,1.479,0
05225689-6739375,3.603,18.171,16.642,15.235,13.828,1.529,1.407,4
05303756-6909402,3.609,18.491,16.962,15.408,13.954,1.529,1.554,4
05394634-6719597,4.086,17.501,15.972,14.318,12.207,1.529,1.654,4
05265773-6602349,3.842,17.713,16.183,14.778,13.049,1.53,1.405,4
04545206-6800438,3.763,18.202,16.672,15.018,13.456,1.53,1.654,4
05330023-6626319,4.153,16.99,15.459,14.015,11.754,1.531,1.444,4
05435673-6738509,3.755,17.985,16.454,14.978,13.6,1.531,1.476,4
05380132-6706472,4.117,18.065,16.533,14.906,12.534,1.532,1.627,4
05245730-6811433,3.903,18.035,16.503,14.862,13.152,1.532,1.641,0
04585586-6945490,3.635,18.056,16.524,15.077,13.789,1.532,1.447,4
05321238-6753383,3.774,17.714,16.181,14.733,13.433,1.533,1.448,4
05305053-6655084,3.753,17.781,16.248,14.867,13.469,1.533,1.381,4
04583173-6656106,3.895,17.555,16.022,14.508,13.054,1.533,1.514,4
05171868-6605077,3.753,17.98,16.447,14.939,13.477,1.533,1.508,0
05403038-7008271,3.69,18.17,16.637,15.079,13.647,1.533,1.558,4
05383982-6823089,3.834,17.91,16.376,14.871,13.223,1.534,1.505,4
05084835-6857470,3.872,17.488,15.954,14.406,13.269,1.534,1.548,4
05060991-7000511,3.761,17.627,16.093,14.544,13.458,1.534,1.549,3
05283193-6958586,3.775,18.479,16.945,15.126,14.062,1.534,1.819,0
05291675-6857031,4.012,17.298,15.763,14.273,12.06,1.535,1.49,4
04520891-6850204,4.223,17.775,16.24,14.424,12.325,1.535,1.816,4
05163894-6748375,4.184,17.64,16.105,14.265,12.418,1.535,1.84,0
05023749-7143483,3.897,17.393,15.858,14.332,12.919,1.535,1.526,4
05013636-6847524,3.565,18.696,17.161,15.578,14.057,1.535,1.583,0
05131336-6646591,4.072,17.825,16.289,14.705,12.769,1.536,1.584,4
05325696-7138034,3.67,18.298,16.762,15.32,13.73,1.536,1.442,4
04565495-6647063,4.158,17.226,15.689,14.078,12.696,1.537,1.611,4
05321770-6922310,3.751,18.275,16.738,14.968,13.474,1.537,1.77,4
05511935-6820185,3.583,19.423,17.886,16.477,13.949,1.537,1.409,4
05091406-6909112,3.898,17.908,16.371,14.789,13.369,1.537,1.582,0
05305683-6918423,4.477,16.939,15.401,13.553,11.827,1.538,1.848,4
05010176-6742099,3.807,17.882,16.344,14.763,13.292,1.538,1.581,3
05184833-6540264,3.793,17.816,16.278,14.808,13.334,1.538,1.47,0
05145702-6638279,3.78,17.909,16.371,14.85,13.423,1.538,1.521,4
05050102-6840504,3.649,18.22,16.682,15.171,13.694,1.538,1.511,0
05312134-6658189,4.222,16.607,15.068,13.687,11.004,1.539,1.381,2
05223109-6934051,4.784,16.523,14.984,13.126,11.165,1.539,1.858,4
04462148-6720042,3.764,18.126,16.587,15.032,13.506,1.539,1.555,4
05282253-6819304,3.847,17.939,16.399,14.853,13.244,1.54,1.546,0
05104513-6851232,3.812,17.91,16.37,14.714,13.422,1.54,1.656,4
05432702-6748390,4.945,15.955,14.415,12.446,10.631,1.54,1.969,4
05201863-6715485,4.129,17.306,15.766,14.179,12.471,1.54,1.587,4
05011768-6808570,3.694,17.841,16.301,14.814,13.454,1.54,1.487,4
05010080-7044533,3.633,18.001,16.461,15.025,13.61,1.54,1.436,4
04495394-6919313,3.59,18.503,16.962,15.518,13.954,1.541,1.444,4
05373148-6738198,3.922,17.828,16.286,14.671,12.865,1.542,1.615,4
05241364-6819219,3.661,18.613,17.071,15.472,13.812,1.542,1.599,0
05353712-6638558,3.696,17.587,16.045,14.858,99.999,1.542,1.187,4
05330220-6723534,3.823,17.603,16.061,14.625,13.198,1.542,1.436,4
05540159-6925398,3.783,17.931,16.388,14.935,13.38,1.543,1.453,0
05341222-6755377,3.718,17.942,16.399,14.955,13.547,1.543,1.444,4
04561382-6707532,3.786,17.888,16.345,14.818,13.375,1.543,1.527,4
05505644-6717443,4.393,18.048,16.504,14.73,12.375,1.544,1.774,4
05324640-6935143,3.959,18.065,16.521,14.856,13.074,1.544,1.665,4
05263723-7107546,3.673,18.411,16.867,15.278,17.472,1.544,1.589,0
05242072-6739457,4.044,17.295,15.751,14.187,12.344,1.544,1.564,4
04564690-6717040,3.882,17.612,16.067,14.563,13.089,1.545,1.504,4
05275757-6602325,3.922,17.565,16.02,14.525,12.674,1.545,1.495,4
05415623-6852181,4.139,17.377,15.831,14.211,11.685,1.546,1.62,4
05062688-6913516,3.723,18.08,16.534,14.873,13.379,1.546,1.661,0
05320975-6558320,3.749,17.817,16.271,14.887,13.382,1.546,1.384,4
05163819-6923448,3.62,18.084,16.538,15.221,13.715,1.546,1.317,0
05035349-6855477,3.839,17.609,16.063,14.659,13.226,1.546,1.404,4
05254356-6644136,3.791,17.984,16.438,14.909,13.464,1.546,1.529,0
05040682-6858367,3.834,17.874,16.327,14.897,13.341,1.547,1.43,4
04564160-6732459,3.974,17.566,16.019,14.396,12.888,1.547,1.623,3
04594362-6823201,3.852,18.034,16.487,14.877,13.259,1.547,1.61,4
04535034-6821319,3.726,18.439,16.892,15.237,13.648,1.547,1.655,4
05272574-6825349,3.774,17.905,16.356,14.863,13.355,1.549,1.493,4
05093921-6655584,3.777,17.881,16.332,14.807,13.419,1.549,1.525,0
05282582-6731134,4.443,16.753,15.204,13.506,99.999,1.549,1.698,4
05070839-6837488,3.652,18.961,17.411,15.509,13.756,1.55,1.902,4
05412463-6904260,3.936,18.07,16.52,14.832,13.026,1.55,1.688,4
04455630-7000192,3.747,18.029,16.479,14.986,13.52,1.55,1.493,0
05112884-6858593,3.601,18.199,16.649,15.196,13.873,1.55,1.453,4
05320811-6855552,4.252,17.595,16.044,14.223,11.332,1.551,1.821,0
05370869-6830062,3.933,17.95,16.399,14.721,13.04,1.551,1.678,4
04431410-6909151,3.721,18.075,16.524,15.002,13.589,1.551,1.522,4
04595367-6750082,4.233,17.128,15.577,13.851,12.187,1.551,1.726,4
05374872-6638458,3.56,18.606,17.055,15.583,14.075,1.551,1.472,4
04515851-6705485,4.165,17.61,16.058,14.341,12.53,1.552,1.717,4
05251257-6812152,4.053,18.035,16.483,14.698,12.824,1.552,1.785,4
04451180-6950318,3.665,18.094,16.542,15.101,13.728,1.552,1.441,4
05350182-6843316,3.622,18.539,16.987,15.439,13.908,1.552,1.548,4
05422074-6928332,3.746,18.098,16.545,14.984,13.555,1.553,1.561,4
05513531-6915026,3.625,18.461,16.908,15.368,13.791,1.553,1.54,4
05053066-6603046,4.827,16.092,14.539,11.809,99.999,1.553,2.73,0
05504262-6817297,4.603,17.064,15.511,13.472,11.4,1.553,2.039,4
04514554-6818212,4.055,17.646,16.093,14.427,12.38,1.553,1.666,4
05021824-6717428,3.916,17.562,16.009,16.787,12.996,1.553,-0.778,3
05103808-6820057,3.799,17.631,16.078,14.629,13.203,1.553,1.449,0
05334967-7045007,4.189,17.354,15.8,14.086,12.326,1.554,1.714,0
05361942-6813296,4.095,17.144,15.59,13.917,12.381,1.554,1.673,4
05454826-6913125,3.693,18.444,16.89,15.283,13.707,1.554,1.607,4
05343753-6642307,4.786,16.262,14.708,12.688,99.999,1.554,2.02,4
05123453-6625397,3.725,18.018,16.464,15.055,13.545,1.554,1.409,0
05502939-6742530,3.647,18.169,16.615,15.145,13.859,1.554,1.47,4
05330053-6614447,4.779,16.176,14.621,12.891,99.999,1.555,1.73,4
05385278-6709107,4.438,16.976,15.421,13.547,9.829,1.555,1.874,3
05352175-6913397,4.675,16.389,14.834,13.396,11.306,1.555,1.438,4
05260096-6604114,4.11,17.739,16.184,14.444,11.765,1.555,1.74,4
05461670-6734038,4.276,16.936,15.381,13.755,12.208,1.555,1.626,2
05291397-6601080,3.802,17.817,16.262,14.84,13.347,1.555,1.422,4
05180516-6848573,3.71,17.831,16.276,14.802,13.608,1.555,1.474,0
04414142-6939199,3.644,18.342,16.787,15.245,13.794,1.555,1.542,0
04504265-7007176,4.074,17.274,15.718,14.115,12.621,1.556,1.603,4
05174538-6927418,3.962,17.381,15.825,14.574,13.578,1.556,1.251,4
05505728-6727277,3.659,18.388,16.832,15.262,13.791,1.556,1.57,0
05263954-6652546,3.631,18.183,16.627,15.191,13.863,1.556,1.436,4
05253624-6624226,3.557,18.689,17.133,15.617,14.116,1.556,1.516,4
05150055-6931396,3.862,17.682,16.125,14.636,12.977,1.557,1.489,0
05535383-6807183,4.72,16.566,15.009,12.994,99.999,1.557,2.015,0
05070495-7049091,3.765,17.949,16.392,14.831,13.365,1.557,1.561,4
05141351-6856158,3.829,18.161,16.604,15.059,13.395,1.557,1.545,4
05314747-7041591,3.618,18.105,16.548,15.096,13.8,1.557,1.452,4
05321493-6757194,4.211,17.262,15.704,13.947,12.343,1.558,1.757,4
05204301-6812478,3.788,18.095,16.537,14.941,13.331,1.558,1.596,0
05430432-6715419,3.714,18.066,16.508,15.042,13.584,1.558,1.466,2
05221699-6711575,3.966,17.81,16.251,14.557,12.695,1.559,1.694,0
05003813-7023176,4.638,16.883,15.324,13.486,11.237,1.559,1.838,4
05414994-6744572,4.206,17.131,15.572,13.968,12.274,1.559,1.604,4
04533941-6743462,3.868,18.193,16.634,14.972,13.258,1.559,1.662,4
05094444-6846367,4.992,16.513,14.954,13.036,99.999,1.559,1.918,4
04592503-6943455,4.045,17.612,16.052,14.439,12.759,1.56,1.613,4
05195434-6839141,3.992,17.569,16.009,14.382,12.825,1.56,1.627,0
05313274-6849001,3.7,18.192,16.632,15.131,13.629,1.56,1.501,4
05254842-6951102,3.647,17.93,16.37,15.16,13.686,1.56,1.21,4
05470889-7037142,3.881,17.702,16.142,14.575,13.153,1.56,1.567,4
05382390-6613336,4.46,17.006,15.445,13.74,9.637,1.561,1.705,4
05495783-6816458,4.659,17.135,15.574,13.365,11.531,1.561,2.209,4
05382160-6735390,3.687,18.223,16.661,15.156,13.697,1.562,1.505,4
05120657-6931204,3.636,18.572,17.01,15.34,13.79,1.562,1.67,4
05313681-6630076,5.311,16.15,14.588,12.6,99.999,1.562,1.988,3
05481400-7029587,3.595,18.352,16.79,15.203,13.915,1.562,1.587,4
05383387-6729412,3.843,18.055,16.492,14.939,13.272,1.563,1.553,4
05354036-6607359,3.796,18.066,16.503,15.003,13.465,1.563,1.5,4
05391136-6745504,3.591,18.285,16.722,15.261,13.826,1.563,1.461,4
05014071-7054588,4.287,16.946,15.383,13.692,11.7,1.563,1.691,4
04500205-7007127,3.556,18.374,16.809,15.324,13.946,1.565,1.485,4
04433319-6906249,3.788,17.85,16.285,14.813,13.34,1.565,1.472,4
05363781-6741159,3.659,18.164,16.599,15.079,13.686,1.565,1.52,4
05253343-6933016,3.581,18.588,17.023,15.462,14.016,1.565,1.561,0
05020143-6859141,3.632,18.227,16.661,15.227,13.83,1.566,1.434,4
05243721-6858322,4.138,17.404,15.838,14.198,11.477,1.566,1.64,4
04553925-7120183,3.794,17.922,16.355,14.798,13.371,1.567,1.557,4
05315414-6847267,3.826,18.214,16.647,15.042,13.408,1.567,1.605,4
05080050-6621390,3.714,17.908,16.341,14.951,13.508,1.567,1.39,0
05383696-7040054,3.714,18.16,16.593,15.051,13.602,1.567,1.542,4
05412871-6733363,3.743,17.935,16.367,14.866,13.488,1.568,1.501,4
05241691-7156440,3.725,18.24,16.672,15.01,13.505,1.568,1.662,4
04595575-6738054,3.967,17.826,16.258,14.585,12.986,1.568,1.673,4
05063639-7032384,4.782,16.633,15.064,13.156,11.137,1.569,1.908,4
05315363-6553205,3.843,17.66,16.091,14.587,13.038,1.569,1.504,4
05324613-7031008,3.783,17.819,16.25,14.784,13.397,1.569,1.466,4
04562721-6912110,3.742,17.842,16.273,14.832,13.427,1.569,1.441,4
05452540-6812007,3.797,17.893,16.324,14.839,13.435,1.569,1.485,4
05050995-7040034,4.936,16.133,14.564,12.676,99.999,1.569,1.888,3
05425782-6618529,4.011,17.43,15.86,14.375,12.613,1.57,1.485,4
05002529-6954206,3.788,17.735,16.165,14.745,13.135,1.57,1.42,4
05075300-7022383,4.146,17.817,16.247,14.559,14.933,1.57,1.688,4
04485251-6735350,4.15,17.327,15.757,14.099,12.402,1.57,1.658,4
05051530-6920413,3.79,17.819,16.248,14.638,13.357,1.571,1.61,4
05134414-6542308,4.59,16.665,15.094,13.305,11.343,1.571,1.789,4
05254838-6636468,3.944,17.904,16.333,14.649,13.108,1.571,1.684,0
04543444-6953500,3.65,18.46,16.889,15.403,13.807,1.571,1.486,4
05224462-6620460,4.588,16.925,15.354,13.528,99.999,1.571,1.826,0
05101925-6755588,3.841,18.003,16.431,14.823,13.249,1.572,1.608,4
05291089-6945010,3.738,17.813,16.241,14.829,13.301,1.572,1.412,4
05081481-6657309,4.185,17.181,15.608,14.02,12.432,1.573,1.588,0
04554192-7000138,3.682,18.215,16.642,15.052,13.689,1.573,1.59,4
05424282-6804145,4.151,17.531,15.957,14.26,12.581,1.574,1.697,4
05281697-6600208,4.3,16.933,15.359,13.709,10.345,1.574,1.65,4
05163649-6656090,4.121,17.125,15.551,13.934,12.527,1.574,1.617,0
05402954-6808343,4,17.747,16.172,14.534,12.802,1.575,1.638,4
05104839-6721068,3.574,18.765,17.19,15.541,13.956,1.575,1.649,0
05434603-6720045,4.241,18.149,16.573,14.795,12.426,1.576,1.778,4
04540287-6635345,4.173,17.172,15.595,13.923,11.104,1.577,1.672,3
05102628-6903385,3.685,18.079,16.502,15.035,13.713,1.577,1.467,0
04592754-7016436,3.943,17.439,15.861,14.3,12.859,1.578,1.561,4
05260991-6825265,3.85,17.666,16.088,14.587,13.062,1.578,1.501,0
05242548-6845591,3.812,17.773,16.195,14.614,13.285,1.578,1.581,0
05320141-6923428,3.784,17.893,16.315,14.768,13.436,1.578,1.547,4
05522017-6746585,3.69,17.951,16.373,14.94,13.559,1.578,1.433,4
05381473-6632589,4.224,17.847,16.269,14.611,11.745,1.578,1.658,4
05311634-6721309,4.458,16.633,15.054,13.376,10.026,1.579,1.678,4
05412142-6926284,4.478,16.959,15.38,13.565,11.834,1.579,1.815,4
05400533-6720151,4.409,17.023,15.444,13.746,99.999,1.579,1.698,4
05303399-6713218,4.631,16.453,14.874,13.096,99.999,1.579,1.778,4
05310991-6701509,4.196,16.913,15.334,13.818,10.989,1.579,1.516,0
05103076-6916474,3.887,18.504,16.925,15.03,13.255,1.579,1.895,4
04571049-6941372,3.655,18.024,16.444,15.024,13.699,1.58,1.42,0
05171800-6928528,4.022,17.858,16.277,14.824,12.466,1.581,1.453,0
05085140-7107062,3.902,17.815,16.234,14.561,13.034,1.581,1.673,0
05291681-6641551,3.837,17.739,16.158,14.676,13.217,1.581,1.482,4
05482579-6716164,3.677,18.171,16.59,15.107,13.613,1.581,1.483,4
05060114-6832559,3.611,18.642,17.061,15.455,13.869,1.581,1.606,0
05305838-6608586,4.623,16.497,14.916,13.106,99.999,1.581,1.81,4
05081101-6831422,3.971,17.487,15.905,14.33,12.915,1.582,1.575,0
05062693-6902568,3.938,17.568,15.986,14.494,13.149,1.582,1.492,0
05225667-6644081,3.707,18.216,16.634,15.048,13.614,1.582,1.586,4
05521640-6740484,3.696,17.983,16.401,14.931,13.62,1.582,1.47,4
05231860-7202573,3.582,18.344,16.762,15.288,13.861,1.582,1.474,4
05362643-6912259,4.157,17.988,16.405,14.661,11.878,1.583,1.744,3
04594996-6920378,3.984,17.613,16.03,14.35,12.7,1.583,1.68,4
